iter	Passed	Remaining
0	147	147426
1	152	75863
2	155	51825
3	159	39626
4	163	32500
5	167	27724
6	171	24354
7	174	21694
8	178	19679
9	182	18062
10	186	16764
11	190	15656
12	194	14751
13	197	13936
14	201	13238
15	205	12639
16	209	12099
17	212	11613
18	216	11198
19	220	10812
20	224	10460
21	228	10138
22	231	9840
23	235	9571
24	239	9325
25	242	9099
26	246	8890
27	249	8659
28	253	8476
29	257	8310
30	260	8157
31	264	8009
32	268	7878
33	272	7746
34	276	7622
35	280	7501
36	283	7391
37	287	7286
38	291	7194
39	295	7096
40	298	6988
41	301	6875
42	305	6795
43	308	6711
44	312	6635
45	316	6565
46	320	6498
47	324	6430
48	327	6363
49	332	6309
50	335	6250
51	339	6194
52	344	6146
53	347	6091
54	351	6044
55	353	5955
56	357	5908
57	360	5861
58	362	5789
59	366	5744
60	369	5692
61	373	5653
62	377	5611
63	381	5575
64	385	5538
65	388	5504
66	392	5471
67	397	5443
68	400	5408
69	404	5374
70	408	5348
71	412	5320
72	416	5288
73	420	5258
74	424	5229
75	427	5203
76	431	5174
77	435	5145
78	439	5121
79	442	5090
80	447	5072
81	451	5053
82	455	5029
83	459	5009
84	463	4988
85	467	4967
86	471	4946
87	475	4924
88	479	4905
89	483	4885
90	486	4862
91	490	4845
92	494	4826
93	498	4803
94	502	4783
95	505	4762
96	509	4744
97	513	4727
98	517	4707
99	521	4691
100	525	4674
101	529	4658
102	533	4642
103	536	4620
104	539	4602
105	543	4584
106	547	4567
107	551	4552
108	554	4535
109	558	4519
110	562	4501
111	565	4485
112	569	4471
113	573	4456
114	577	4441
115	581	4429
116	584	4414
117	588	4400
118	592	4385
119	596	4373
120	600	4361
121	604	4347
122	607	4334
123	611	4321
124	615	4308
125	619	4293
126	622	4279
127	626	4265
128	630	4254
129	633	4242
130	637	4229
131	641	4215
132	645	4205
133	649	4194
134	652	4181
135	656	4169
136	659	4156
137	662	4139
138	666	4125
139	669	4113
140	672	4096
141	675	4083
142	679	4070
143	682	4056
144	685	4044
145	689	4031
146	692	4019
147	695	4005
148	699	3992
149	702	3981
150	705	3969
151	709	3957
152	712	3945
153	716	3933
154	719	3922
155	722	3910
156	726	3902
157	730	3890
158	733	3880
159	736	3869
160	740	3859
161	744	3850
162	747	3840
163	751	3829
164	754	3818
165	757	3808
166	761	3797
167	764	3786
168	767	3775
169	771	3765
170	774	3755
171	777	3744
172	781	3735
173	784	3724
174	788	3715
175	791	3707
176	796	3703
177	799	3694
178	803	3684
179	806	3675
180	810	3668
181	814	3660
182	817	3651
183	821	3642
184	824	3633
185	828	3623
186	831	3613
187	834	3604
188	838	3595
189	841	3586
190	844	3577
191	847	3568
192	851	3560
